model,task_id,claim_text,claim_type,fen,bucket
openai/gpt-5.2,5ZnWW,the black queen on b6 has no line to c8,state,2r5/5p1k/pq4pp/3p3n/1p4Q1/2P1P3/P2N2PP/2R3K1 w - - 0 31,
anthropic/claude-sonnet-5,SXrHg,Rxf8+ is essentially forced-response inducing,threat,r1b2rk1/6p1/p1p1p1PP/3p4/8/2N5/PPPqB3/RK3R2 w - - 0 25,
qwen/qwen3.8-2.4t-a95b,OzrkB,Na5 is clearly the strongest move,plan,3r2k1/1p1R1pbp/pq2p1p1/8/2P5/1N6/PP2QPPP/6K1 w - - 2 25,
qwen/qwen3.8-2.4t-a95b,ZGlBX,"If White tries Re3+, Black simply plays Kxe3, winning a rook",plan,7r/p1p5/1p2R3/2b2P2/P1P3P1/6k1/8/4RK2 b - - 4 36,
openai/gpt-5.2,aa5A9,No other White move gives a comparably forcing gain with tempo,unverifiable,rnb2rk1/ppq4p/4p1pQ/2p3N1/2B5/4P3/P3KPPP/bN5R w - - 2 15,
qwen/qwen3.8-2.4t-a95b,Lkqh7,Black wins a queen for a bishop,unverifiable,r4r2/ppp2pk1/4b2p/6q1/2B1PR2/PQ6/1P4PP/5RK1 b - - 4 21,
openai/gpt-5.2,c29TF,17...Qxf2+ gives Black the best continuation,plan,1k1r1b1r/ppp1ppp1/5q2/PP1n4/2pPP3/2P3PB/2Q2P2/R1B1K2R b KQ - 0 17,
anthropic/claude-sonnet-5,LvVki,h4 challenges the g3 pawn,state,8/8/8/1p1p2kp/1PpP4/p1P3PK/P7/8 b - - 1 48,
openai/gpt-5.2,PDIUV,36...Qxe1+ wins White's other rook with check,threat,5rk1/4r1p1/p3P3/2p5/3q3P/6R1/2Q3P1/4R2K b - - 2 35,
anthropic/claude-sonnet-5,WvhFG,f7 is blocked by pawn,state,r4rk1/2pb1pp1/2n2q1p/p3pN2/1p1P3P/3Q4/PPB2PP1/R3R1K1 w - - 0 21,
qwen/qwen3.8-2.4t-a95b,V3IuB,White's king is exposed on d2,state,2r3k1/3q2pp/p3pp2/3p4/RPrP1P2/1Q3P2/3K2PP/3N3R b - - 6 31,
qwen/qwen3.8-2.4t-a95b,xjzsD,If Kc1: d2+ followed by either Ne3+ or d1=Q,threat,k2r4/pp4pp/3n1pb1/4n3/5B2/P1Pp1PN1/BP1K2PP/4R3 b - - 5 23,
openai/gpt-5.2,Loa8y,b4 gets immediately neutralized by ...axb4,threat,8/6pp/1p6/p2k1K2/P5P1/8/1P5P/8 w - - 1 43,
